,Date,User,Tweet
13,2022-12-08 11:52:51+00:00,Station91in,"The Digital Rupee (e₹) or eINR or E-Rupee is a planned digital version of the Indian Rupee, to be issued by the Reserve Bank of India (RBI) as a central bank digital currency (CBDC).

Follow @station91.in for more such content 
#station91 #digitalrupee #investing #stockmarket https://t.co/rrzxJzArtv"
14,2022-12-08 11:42:44+00:00,FinistryIn,"Obviously, the downside is that it becomes harder to retrieve the money - it's like accidentally paying someone in cash.
You have to convince them to give it back and you can't just rely on a bank to undo the transfer. (3/3)
#Finistry #digitalrupee #rbi https://t.co/T4jHKrgLZK"
15,2022-12-08 11:39:34+00:00,VijayBhojane2,"I just published India’s RBI CBDC e-Rupee(e₹-R) — All you need to know about. https://t.co/QHVIlq8uMd 

#CBDC #DigitalRupee @RBI #Blockchain #India #Cryptocurency"
16,2022-12-08 10:49:00+00:00,StudioThreeway,"Difference between #UPI &amp; CBDC’s explained by @DasShaktikanta, honourable @RBI Governor 
.
#CBDC #DigitalRupee #Currency #Financial #economy #RBIPolicy #India #Blockchain https://t.co/4gyxKgAngU"
17,2022-12-08 10:44:27+00:00,cryptotrackapps,"To be mindful! The popularity of UPI could pose a challenge to the future of the digital rupee.
Read More :https://t.co/5yv7TYVhql
Install :#playstore #CryptoTrack
#CryptoTrack #UPI #DigitalRupee #digital #future https://t.co/2jVE6tiMOL"
18,2022-12-08 10:00:17+00:00,ProNewsWorld,"#indian  #Digital  #Rupee  is all Set to Boom the #Country’s Economy
https://t.co/L8S7qNvQZQ"
19,2022-12-08 09:04:46+00:00,Mubarak0570,"The more I see you the more the  hope of digital world of future I see.
#NFTCommunity #NFT #cryptocrash #Crypto #DigitalRupee"
20,2022-12-08 07:40:01+00:00,BhartiyaDefence,#upi vs #DigitalRupee well explained https://t.co/L716vtyjSm
21,2022-12-08 06:54:04+00:00,AnirbanET,"#podcast
#ETMorningBriefPodcast

@Mugdha_Variyar tells you all about what the #digitalrupee means for you and me, how it’s different from #UPI and whether it truly is India’s answer to crypto..

Sharp insights from @SaloniShukla__ and others https://t.co/9DtL4WzwbE"
22,2022-12-08 06:49:28+00:00,TheMahaMTB,"रुपया आणि ‘डिजिटल’ रुपया: 

#MahaMTB #digitalrupee #reservebankofindia #digitalwallet 

https://t.co/rHX9D8mzyZ"
23,2022-12-08 06:44:14+00:00,investindia,"#InvestInIndia

#NewIndia’s first digital rupee (e₹) will ensure consumer protection by avoiding risks associated with private virtual currencies!

Explore more at: https://t.co/Rj3I8eI228 

#InvestIndia #Banking #DigitalRupee https://t.co/rNKAmMCUP7"
24,2022-12-08 06:35:24+00:00,Mugdha_Variyar,"#podcast

In today's episode of The Morning Brief, I ask experts some common questions around the e-rupee:

Is it completely anonymous? 
Will it compete with UPI?
Can it ward off crypto?
Are there security concerns? 

Listen in for some great insights. 

#CBDC 
#DigitalRupee https://t.co/pgYKNQW3UC"
25,2022-12-08 06:31:04+00:00,bsindia,"#BSBankingShow | Soon the digital rupee pilot will move from 4 to 8 banks and across 13 cities. As banks try to onboard more users, our experts explain how it works and how one can operationalise the wallet

@TheOfficialSBI @subratapanda #DigitalRupee
https://t.co/6NBWvK5jWm"
26,2022-12-08 06:30:22+00:00,IDFCFIRSTBank,"The advantages of e₹ and more: Our MD and CEO, Mr. V Vaidyanathan, in conversation with @bsindia.

https://t.co/FRvxTmXlTR

#IDFCFIRSTBank #AlwaysYouFirst #CBDC #DigitalRupee"
27,2022-12-08 05:50:48+00:00,bsindia,"#BSBankingShow | In this segment, we explain the functioning of the digital rupee and whether it can guarantee anonymity like cash. Watch the video

@TheOfficialSBI @IshaanGera #DigitalCurrency #DigitalRupee #Cash
https://t.co/1KAOs6ZUQG"
28,2022-12-08 05:45:57+00:00,FE_DigitalAsset,"Blog: Decrypting Digital Rupee (e₹) 

https://t.co/kTzembgwR9

#Blog #DigitalRupee #CBDC #RBI #feblockchain"
29,2022-12-08 05:30:14+00:00,ICC_Chamber,#TopicThursday #IndianChamberofCommerce #ICCEncouragingIndia #RBI #digitalrupee #digitalindia #finance #india https://t.co/6XS4f6YrYL
30,2022-12-08 05:16:51+00:00,IAm26733268,"ரிசர்வ் வங்கி வெளியிட்ட டிஜிட்டல் ரூபாய் 
#DigitalRupee https://t.co/HtyJi0AZP6"
31,2022-12-08 05:12:19+00:00,slice_of_light,Anonymity in CBDC #CBDC #DigitalRupee #India https://t.co/rbt8hyNSI8
32,2022-12-08 05:07:46+00:00,ttrendingmania,"Digital Rupee : UPI से कैसे अलग है Digital Rupee, क्या है डिजिटल करेंसी की खासियत ?

https://t.co/M1okM1qjlS 
#DigitalRupee 
#DigitalCurrency 
#RBIgovernor 
#UPI 
#DigitalIndia 
@_DigitalIndia"
33,2022-12-08 05:00:54+00:00,bsindia,"Soon the #DigitalRupee pilot will move from 4 to 8 banks and across 13 cities. As banks try to onboard more users, our experts explain how it works

Find out in #BSBankingShow. https://t.co/7YWi878dgt

@TheOfficialSBI #bankingnews
https://t.co/PCdI0c540B https://t.co/A4WitX8QhP"
34,2022-12-08 04:52:48+00:00,lahoti_yash,"#RBIgovernor  Shaktikanta Das explaining difference between #CBDCs and #UPI 

This will save all the transaction cost for the banks as transaction costs for now are wholly borne by banks for UPI transaction. Lets see how #DigitalRupee rolls. https://t.co/jhAuyMBKDU"
35,2022-12-08 04:30:15+00:00,bsindia,"Does the #DigitalRupee guarantee anonymity? Our experts explain its functioning and whether it can guarantee anonymity like cash and a lot more --- get a quick recap of the latest financial sector developments in #BSBankingShow.

@TheOfficialSBI #RBI
https://t.co/pxlD4KS8Vy https://t.co/190ykopXXT"
36,2022-12-08 04:08:12+00:00,moneycontrolcom,"#ICYMI: #RBI governor Shaktikanta Das clarified the difference between the digital rupee and Unified Payments Interface (UPI). 

Here are five takeaways from the RBI’s post policy press conference 👇🏻

https://t.co/FwxdN3mAgJ

#eRupee #UPI | ✍️ @manishsuvarna15"
37,2022-12-08 03:23:39+00:00,viveksmohan,"#CBDC Says the transaction between wallets will be anonymous just like cash...

#rbi #DigitalRupee https://t.co/yv1onJcLrR"
38,2022-12-08 03:22:47+00:00,EconomicTimes,"#ETMorningBriefPodcast|  Host @MugdhaVariyar decodes with @YESBANK's Ajay Rajan, @PwC_IN's Vivek Belgavi and ET's Saloni Shukla, the ins and outs of  #DigitalRupee or e₹ 
https://t.co/ZcviAcnsJk https://t.co/zBL2fWq6HY"
39,2022-12-08 03:11:06+00:00,etmalayalam,"ഡിജിറ്റല്‍ റുപ്പിയും, യുപിഐയും തമ്മിലുള്ള വ്യത്യാസം വിശദീകരിച്ച് ആര്‍ബിഐ തന്നെ രംഗത്ത്. ആളുകള്‍ക്ക് ആശങ്കയുടെ ഒരു കണികപോലും വേണ്ടെന്ന് ദാസ്.#eRUPI #DigitalRupee #UPI #RBI #RBIPolicy #Crypto #CBDC 

https://t.co/lOizdIbJtk"
40,2022-12-08 02:21:39+00:00,ETHindi,"सेंट्रल बैंक डिजिटल करेंसी या सीबीडीसी को यूपीआई की तरह भारत की अर्थव्यवस्था में एक बड़ा बदलाव लाने वाला माना जा रहा है. #CBDC #UPI #Crypto #DigitalRupee 
https://t.co/luPeakpi8o https://t.co/xQiJQd7Pbv"
41,2022-12-08 01:52:03+00:00,Pramod_Rao_,"#TBThursday 

@scconline_ article from a year ago, that touches upon #demonetization &amp; Indian Digital Rupee (#CBDC), both of which in news this month…

Views expressed subject to outcome of Supreme Court decision on demonetization matter &amp; RBI’s testing of CBDC! https://t.co/YpRsTfXWCj"
42,2022-12-08 01:01:09+00:00,VijayKu71640908,"This step of our Honorable Prime Minister Shri Narendra Modi is commendable. It is expected that this step will help in solving some important problems of our country like income tax evasion, black money, note printing cost etc.
#DigitalRupee"
43,2022-12-07 23:08:17+00:00,Kvnswami,"Due course., UPI will became a chargeable service as it involves multiple parties, Then #DigitalRupee will be an option as it not have MDR etc...

Atleast low ticket size transactions https://t.co/Q5R0GnhkP6"
44,2022-12-07 21:59:15+00:00,theindiakalpa,"RBI governor @DasShaktikanta explains the difference between #UPI &amp; #DigitalRupee/CBDC. CBDC does not require the intermediation of banks. Basically, it is digital cash. 

#India #IndianEconomy #DigitalIndia #DigitalInclusion 

https://t.co/S4aBCawSR3"
45,2022-12-07 21:44:34+00:00,_einundzwanzig_,"#162 - Kein Hijab ist kein Verbrechen?

mit @tanksen_f @Lassmiranda21
@cercatrova_21 @Justdoitalex und Mannie

Themen: 
#Twitter #DigitalRupee #CBDC #Hijab #ChatGPT #BitcoinBaden #Lightning #Bison #GigiBlog #Mining https://t.co/nUObMuJhCi"
46,2022-12-07 21:15:05+00:00,India24hoursliv,"No Need To Create ""Fear Psychosis"" Over Digital Rupee, Says RBI Governor

https://t.co/FFfORCOTNg 
#business #cbdc #Digital_currency #RBI #shaktikanta_das #Business #Featured

https://t.co/FFfORCOTNg"
47,2022-12-07 18:52:36+00:00,jobiark,"AGAINST ALL ODDS, YOU WILL OVERCOME https://t.co/9JnGdW50GU via @YouTube 
#WarrenBuffett #GTBank #Djsumbody #DigitalRupee #DisneyPlus #Morocco #MooreVHarper #MotivationalWednesday #MotivationalQuotes #amazondown #AsuuStrikeUpdates"
48,2022-12-07 17:44:45+00:00,cbpaymentsnews,"The digital rupee will be as anonymous as cash, says @RBI Deputy Governor T Rabi Sankar #CBDC 

https://t.co/75qLnUaNHu via @economictimes"
49,2022-12-07 17:07:19+00:00,AnupKochhar,"The big Q is Why would anyone use
#DigitalRupee ?
What's the incentive/ motivation for consumers to switch to #DigitalRupee ?"
50,2022-12-07 17:04:30+00:00,notvanshnarang,"awakenindiamov: This is how they will do it.
This is how they will force(convince) you to shift to #DigitalRupee .
#SaveCash 
@RBI https://t.co/VhH828nbD8"
51,2022-12-07 17:04:15+00:00,arpit_india4,"CBDC 
Central Bank Digital Currency!
.
Please go through the link for details.
.
Asper RBI press Conference
#CBDC #ecurrency #DigitalRupee
https://t.co/VEwCsNDxnZ"
52,2022-12-07 16:54:00+00:00,nirmalyaseo,RBI Launches Digital Rupee: Everything you Need to Know https://t.co/Y084xfgnHg #DigitalRupee #Digital #godigital
53,2022-12-07 16:09:58+00:00,awakenindiamov,"This is how they will do it.
This is how they will force(convince) you to shift to #DigitalRupee .
#SaveCash 
@RBI https://t.co/ytXv3VOtVG"
54,2022-12-07 15:11:43+00:00,asbnewsindia,"बिना किसी डर के इस्तेमाल कर सकते हैं Digital Rupee, गोपनीयता भी रहेगी सुरक्षित; RBI गवर्नर ने बताया प्लान https://t.co/Z3DE7Nlqg7 #digitalrupee  #privacy #rbigovernor"
55,2022-12-07 14:59:29+00:00,0xDroomDroom,"2- Is India's CBDC any different?

The operating method of CBDCs might be different but the end goal would eventually be identical.
#DigitalRupee offers two versions-
Retail - used by the private sector, consumers &amp; businesses
Wholesale - used by select financial institutions https://t.co/QYzFUPV3vD"
56,2022-12-07 14:47:32+00:00,MAYANK8382,@Being_CBE_ian @Akshat_World Gov must cash deposit/withdrawal limit in bank max 5 lakh in a year if that PAN not file itr of last year ! Beyond this limit only 5% TDS apply by bank ! In first phase then next year increase TDS 10% ! Then only people sift to #cbdc #DigitalRupee
57,2022-12-07 14:28:53+00:00,moneycontrolcom,"@manishsuvarna15 The RBI started a pilot for the retail digital rupee (e-₹ R) on December 1. The central bank has identified eight banks for the first of the two-phase project.

Read Here 👇🏻

https://t.co/2vQ33SiWSa

#eRupee #UPI | ✍️ @manishsuvarna15"
58,2022-12-07 14:07:22+00:00,ISGPay,"Transactions have gained momentum in the pilots for the RBI's digital currency. Read the full news here-

#digitalpayments #CBDC #pilotproject #digitalcurrency #erupee #digitalrupee https://t.co/iE0WAgyL91"
59,2022-12-07 14:00:28+00:00,TheThinkAsset,"India's Digital Rupee - How it is different from Cryptocurrency
https://t.co/kK76YQbKOL

#MCDResults #AarYaPaarOnSonyLIV #DigitalRupee #DigitalCurrency #cryptocurrency #DigitalRupeeVsCryptocurrency"
60,2022-12-07 13:54:03+00:00,legalmanch,"In today's MPC meeting, RBI decided to increase the repo rate, as inflation is expected to be above 4% for next 12 month's

#legalupdate #incometax #rbi #digitalrupee  #reservebankofindia #rupee #rbiregulations  #ındıaneconomy #repo #RepoRate #rate #bank #lendingrate #inflation https://t.co/oW9kHBV6Y3"
61,2022-12-07 13:49:25+00:00,espsofttechpltd,"RBI’s to launch new digital currency – What is CBDC?
Watch Full Video on 9th Dec on our Youtube Channel
For more information Subscribe to our Youtube Channel
https://t.co/xg3VeuzKql
#breaking_news #Current_Issue #DigitalRupee #RBI #RBItoday #CBDC #eRUPI. https://t.co/jV0A1BfUzG"
62,2022-12-07 13:30:20+00:00,thenewsdrum,"Don't create fear psychosis on privacy concerns on Digital Rupee: RBI

#DigitalRupee #ERupee #CBDC #DigitalCurrency #RBI #RBIgovernor 
https://t.co/4WogzRPbGu"
63,2022-12-07 13:28:32+00:00,ZeeBusiness,"Digital Rupee में रहेगा प्राइवेसी का डर? CBDC पर क्या बोले RBI गवर्नर शक्तिकांत दास, जानिए
#digitalrupee #banking #Digital #RBI 
https://t.co/tju7AUTMQD"
64,2022-12-07 12:54:46+00:00,tradingbells_,"Do you think Digital Rupee can transform digital transactions in India?

#digitalrupee #erupee #rbi #reservebank #centralbank #digitalcurrency #digitalwallet #currency #trading #investing #digitaltransaction #cbdc #indiancurrency #sbi #moneymarket https://t.co/rrpAd3f293"
65,2022-12-07 12:41:33+00:00,inhnewsindia,"RBI LAUNCHES DIGITAL RUPEE : RBI ने लॉन्च किया डिजिटल रुपया, जानें UPI और CBDC डिजिटल करेंसी के बीच अंतर
.
.
.
#RBI #Reservebankofindia #DigitalCurrency #CBDC #UPI #SBI #LatestNews #TodayNews #inh24x7 #NationalNews 
https://t.co/D27A42xouQ https://t.co/md2jnC8AlH"
66,2022-12-07 12:30:13+00:00,opengrowth_,"We'll keep you up-to-date with all the latest news and events in the startup world.

Stay informed and inspired.

Follow us to get regular updates about startups in your feed!
.
#OpenGrowth #startup #technologythesedays #byjus #value #indianstartup #india #unicorn  #DigitalRupee https://t.co/mlxRm56ou6"
67,2022-12-07 12:28:37+00:00,blockchaingeekk,@coinbureau #digitalrupee
68,2022-12-07 12:19:58+00:00,business_today,"RBI governor Shaktikanta Das explains the difference between #DigitalRupee and #upipayment platforms. 
#RBI 
https://t.co/Fdcewtuc04"
69,2022-12-07 12:16:16+00:00,yallashotcora,How to use RBI's Digital Rupee #CryptoCurrency #digital via https://t.co/8Xtdkcqcst https://t.co/oOkkA7tdhm
70,2022-12-07 12:08:24+00:00,abpmajhatv,"ई-रुपी यूपीआयपेक्षा कसा वेगळा आहे, जाणून घ्या सविस्तर

#DigitalRupee #RBI @deepak_pals

https://t.co/Jjvtawvb49"
71,2022-12-07 12:06:30+00:00,buytherightcoin,"🚨Is RBI CBDC Launch, a threat to Cryptocurrency in India?
📢Watch this video to know more.
https://t.co/xjs4qLbOsD

#CBDC  #RBIPolicy #RBI #erupee #DigitalCurrency  #DigitalRupee #cryptocurrency #CryptoInvestor #blockchaintechnology"
72,2022-12-07 12:02:03+00:00,CryptowithRsk,"For the sake of decentralization forcing someone to adopt the technology isn't what decentralization stands for.

Just understand the technology before adoption 🤝

#CryptoNews #DigitalRupee #CBDC"
73,2022-12-07 11:57:31+00:00,JagbaniOnline,"ਡਿਜੀਟਲ ਰੁਪਏ ਦੀ ਟੈਸਟਿੰਗ ਦੇ ਦੌਰਾਨ ਲੈਣ-ਦੇਣ 'ਚ ਤੇਜ਼ੀ
https://t.co/lomQwUrGga
#Transactions #Testing #DigitalRupee https://t.co/ijYeA4WzA3"
74,2022-12-07 11:57:20+00:00,Circularr_hq,"India’s central bank has stated it’s undertaking the first pilot for retail digital currency at 4 local banks.
Based on results, they will experiment with additional features and applications of the digital rupee in future pilots.
#digitalrupee #India #CIRP #digitalcurrency https://t.co/qEeL0DnlAY"
75,2022-12-07 11:50:12+00:00,moneycontrolcom,"#RBI governor Shaktikanta Das on Wednesday, December 7, clarified the difference between the digital rupee and Unified Payments Interface (UPI). 

Here are five takeaways from the RBI’s post policy press conference 👇🏻

https://t.co/2vQ33SzZUa

#eRupee #UPI | ✍️ @manishsuvarna15"
76,2022-12-07 11:38:19+00:00,SatlokChannel,"RBI launched the Retail Digital Rupee (e₹-R) to test the robustness of the entire process of the digital Rupee. Read the news to know all the details.
#CBDC #DigitalRupee #RBIPolicy 

https://t.co/2SYcHYucbu"
77,2022-12-07 11:26:08+00:00,SKodineya,"#Never respond to #calls #seeking sensitive #information
#StaySafeOnline
#cybersecurity
#G20India
#DigitalTransformation
#DigitalCurrency
#online
#cyber
#informationsecurity
#DataAnalytics
#DataSecurity
#BeSafe
#Share
#NeverForget
#MONEY
#SAFEBanking
#SafetyFirst
#DigitalRupee https://t.co/Yg3HEREkVF"
78,2022-12-07 11:06:04+00:00,YouthIncMag,"On December 1, 2022, the #ReserveBankofIndia launched its #digitalrupee pilot taking a huge step forward towards becoming a #cashlesseconomy. This launch has got all Indians excited and at the same time curious. @RBI @_DigitalIndia @FinMinIndia"
79,2022-12-07 10:47:16+00:00,KirtikumarBoba1,"Share
#DigitalRupee Yatra service in #IndianArmy:How to r..
The Big take
The Sypmaster
The shipmaster
Bedroom cylinder heads
Results for all #MCDResults
Ke bad bole #ArvindKejriwal
""Need PM Blessing""
@chandrarsrikant
@ndtv
@kunalb11
@RailMinIndia
@NASA

https://t.co/DFzGFwRFYr"
80,2022-12-07 10:18:24+00:00,basavaraj_md7,"Digital India concept will fail very soon B'cus everyone moved to dgtl transactn nowadays, but govt.has  Limited upi transactions only 10times /day. I'm suffering so Pls everyone away from tue digital payments.#RBI #DigitalRupee #DigitalIndia #Modi #paymentgateway #GPay #paytm"
81,2022-12-07 09:58:19+00:00,ParomitaGupta7,"Hello Delhities,
If you come across any merchant who is using a CBDC or Digital Rupee QR code (sample attached below) please drop me their location. 

Thank you! #CBDC #DigitalRupee https://t.co/eVf0wP4qRm"
82,2022-12-07 08:50:46+00:00,accovetltd,"Will The E-RUPI Revive The Indian Financial System?  
https://t.co/rUBxzKlnhn 
#DigitalRupee #E-rupi #Financial #Rbi  #E-rupee https://t.co/JMYvnlAnuY"
83,2022-12-07 08:23:15+00:00,outlookbusiness,"#OutlookBusiness | Since #CBDC was launched by #RBI, there have been doubts about its similarity with #UPI payment system. RBI Guv @DasShaktikanta finally puts these doubts to rest. Read full story by @PragattiOberoi8 

#erupee #digitalrupee 

https://t.co/vl0MJmbZHY"
84,2022-12-07 08:01:27+00:00,Thalayangamnews,"நிதிக்கொள்கைகூட்டம்: ரிசர்வ் வங்கி கவர்னர் அறிவிப்பின் முக்கிய அம்சங்கள்! ஓர் பார்வை
https://t.co/QDCO4fKwtz

#RBI #rbireporate #Reporate #monetaryPolicy #monetarypolicymeet #digitalrupee #EMI @Thalayangamnews"
85,2022-12-07 07:09:35+00:00,proassetz,"The Indian government’s new program for the digital rupee;click link in comments to know more 🔗🪙
@inventivaindia #India #digitalrupee #DigitalTransformation https://t.co/xqLnZPDOy9"
86,2022-12-07 06:54:12+00:00,bjpneelrao,"ડિઝિટલ ક્રાંતિ ક્ષેત્રે ભારતનો દબદબો.

RBIએ ડિઝિટલ કરન્સી લોન્ચ કરીને એક નવા નાણાકીય વ્યવહારમાં નવા યુગની કરી શરૂઆતમાં પસંદગીના સ્થળોએ પાયલટ પ્રોજેકટની શરૂઆત થશે તથા આ કરન્સીનું મોબાઈલ દ્વારા ટ્રાન્ઝેક્શન થશે.
#DigitalRupee https://t.co/7aiCVUdkei"
87,2022-12-07 06:51:11+00:00,localverandah,"The Digital Rupee or eINR is a planned digital version of the Indian Rupee, to be issued by the Reserve Bank of India (RBI) as a central bank digital currency.💰🤑

For more click here: https://t.co/O7S6IuW3HO 👈

#digitalcurrency #digitalrupee #rbi #bank #india #news #crypto https://t.co/OExXQtcYHU"
88,2022-12-07 06:49:32+00:00,proassetz,"How different is Digital Rupee from UPI payments?; Check all the details and process from the link in comments 🔗😃
@LokmatTimes_ngp #finance #digitalart #upipayment #DigitalRupee https://t.co/rTYb4Z5Sxu"
89,2022-12-07 06:39:18+00:00,realist_trade,"Some potential 'use cases' of CBDC(#digitalrupee):
1) Govt imposes total lockdown in your locality. All wallets from that locality(address linked to your aadhar which is linked to your wallet) are instantly frozen indefinitely till further notice."
90,2022-12-07 06:25:54+00:00,sjbm1974,"#DigitalRupee 

@narendramodi https://t.co/THkb5jyPgy"
91,2022-12-07 06:12:18+00:00,nine_arks,"Is #India started its journey towards its own #cryptocurrency?

#Rupee #DigitalRupee"
92,2022-12-07 06:04:15+00:00,buyucoin,"Have you seen the new Digital #Rupee scanner near you or it is still a long shot?

#rbi #Crypto #DigitalRupee"
93,2022-12-07 05:42:30+00:00,thefirstindia,"Calling India ""the pioneer of digital technology,"" #G20 Sherpas and delegates lauded the #digitaltransformation and also used UPI  to buy Rajasthani handcraft items at the Shilpgram crafts village in #Udaipur, Rajasthan.

 #UPI #DigitalRupee #DigitalTrends #India #G20Summit https://t.co/33aPqiilmp"
94,2022-12-07 04:50:09+00:00,Bhikshusureshw1,"Be careful 
#CBDC 
#DigitalRupee https://t.co/xDixL1Tfd4"
95,2022-12-07 04:32:54+00:00,zjh_yt_official,"यह RBI द्वारा जारी भारत की नई डिजिटल
करेंसी (e ₹) है इसमे गांधीजी नहीं रहे

भगवान उनकी आत्मा को शांति दे !
😂😂

#DigitalRupee #rip_gandhi https://t.co/9KhxEHP04C"
96,2022-12-07 04:26:57+00:00,prabhatkhabar,"डिजिटल ट्रांजैक्सन में भारतीयों का बोलबाला, 3 महीने के अंदर हुए इतने के लेन-देन...
#OnlineTransaction #DigitalRupee #DigitalTransactions

https://t.co/44AFZmVWxw"
97,2022-12-07 04:12:44+00:00,ArunRane9,"@arunpudur This is true. Our Dhobi, Newspaper vendor, milkman, grocery shop down all are having QR codes and we pay them digitally. Jai ho. #DigitalIndia . Next #DigitalRupee . We are lucky to see this revolution from (chhedwala) dhela to Digital Rupee in our lifetime."
98,2022-12-07 03:37:21+00:00,akhilpachori,"FAQ's on #DigitalRupee 

A Thread 🧵 https://t.co/mbi5gcyzAL"
99,2022-12-07 01:37:11+00:00,MAYANK8382,@Priyans14812650 @vijayshekhar Why do crypto of high tax if want digital money then lets welcome #DigitalRupee e-₹
100,2022-12-07 00:21:05+00:00,StorriTalk,Digital Rupee Trial Begins; Exponential Development in UPI Funds Backs Optimism on India’s #CBDC Pilot: Specialists https://t.co/QTFmVbMHVx #india #digitalrupee #cryptocurrency
101,2022-12-07 00:00:50+00:00,DezanShira,"#Retail Digital Rupee Pilot Launch in #India on December 1, 2022.

In the initial phase, India is testing the #retail digital rupee (#e₹-R) in four cities: #Mumbai, #NewDelhi, Bengaluru, and Bhubaneshwar.

How can you use the #DigitalRupee? 👇
https://t.co/IkK4ILwnFZ"
102,2022-12-06 21:51:29+00:00,geoestratego,"Lo mismo que en #India:
“India to Test Digital Rupee in 4 Cities With 4 Banks.”

https://t.co/yryJpGtzIS"
103,2022-12-06 21:39:54+00:00,LuckyNwekeKFC,"The Bank of @Indonesia recently released a study outlining the country's 2023 economic growth plan, which calls for the digitalization of payment networks and the introduction of a Digital Rupee.

#Ethereum #Cryptocurency #CRYPTO"
104,2022-12-06 18:02:30+00:00,Zee24Kalak,"દેશમાં ડિજિટલ રૂપિના લોન્ચ થતાં જ લોકોના મનમાં ઘણા પ્રકારના પ્રશ્નો ઉદભવી રહ્યા છે. સરકારે તેને પાયલોટ પ્રોજેક્ટ તરીકે લોન્ચ કર્યો છે. 
#DigitalRupee #Notebandi #goverment #NoteBan 
https://t.co/AusGDPSA8T"
105,2022-12-06 17:12:04+00:00,Khabaribhayiya,"डिजिटल रुपया: यह क्या है? इसे कहाँ से प्राप्त करें? कैसे इस्तेमाल करे? जानें सारी जानकारी 
#Rupee #DigitalRupee #Cbdc #ReserveBankOfIndia #HDFCBank #StateBankOfIndia #WhatIsDigitalRupee #HowToUse #DigitalRupeePilotLaunch #CentralBankDigitalCurrency
https://t.co/Bl9dj44RTD"
106,2022-12-06 16:40:27+00:00,AmanV2310,"Is this the new digital currency by RBI?

If it is then seems quite interesting. 

#DigitalCurrency 
#DigitalRupee https://t.co/iN7LjOuirJ"
