no,Tweet
46,"You said there is no requirement for an ATM, third party App and bank account then how banks will earn  and hows the newly launched CBDC will benefit banks"
47,Hi everybody   amp  amp Hello all and I welcome you on.. =
48,Plzz talk about Google monopoly in indian market and how they refuse to act according to indian laws.
49,"Best part in IDFC first is no charge for s I'mple services nd debit, credit Card   "
50,Plzz make a video on pension system
51,Loved the Intro music as much as the content. Any links pls
52,I came to see this video about how exactly it will work.. do we need to hav a wallet or something .. s I'mply how to transfer and store digital rupee    Hopefully will be clarified in future videos...
53,If Ukraine with Nato and US pressuure Russia to the corner than there is no way out exccept to press the Button. Many will die even their own friends and relatives.
54,Very informative and biased video  Put yourself in place of government to el I'minate the bias.
55,"This is the 1st video of urs I ever saw and I have already subscribed to u. I have seen a few videos regarding e-rupi  but no one was telling the main thing, HOW IS IT DIFFERENT FROM   quotUPI  quot, and why would people wanna shift to it. Thanks a lot for such a great in-depth video."
56,It will decrease corruption.
57,I am daily waiting for community posts and channel posts u have a grt moat
58,As you said its going to hurt HDFC ICICI AXIS and Others ... Do you foresee these banks might become less effective 10 years from now Again we are all invested in these companies via equity or mutual fund... I dont want to be holding worthless shit 10 years down the line
59,Will it make banking sector go down in stock market
60,I personally feel erupi is s I'milar to bitcoin. limited amount of erupi in the network. Buy erupi from rupee or encashment from erupi based on the market rate s I'milar to dollar to rupee
61,"This government is trying to make an  I'mpression among public that it can take initiatives and work for betterment of country.  But as failed in most of previous decisions, govt will discontinue digital currency  And  You will make one video why govt stopped issuing DC like 2000 note,    This govt is playing with the country.  Media back their few correct decisions and public forget all wrong deeds"
62,"Sir BLACK MONEY IS SAVED IN PHYSICAL STATE...  which is being hidden by many terrorists... There is no account from where the monwy has come.   Now, when the same 100rs note is changing its state from PHYSICAL to Electronic.. Its not easy to hide BLACK MONEY    This is a MASTER STROKE step towards pulling out all black money....    With Due Respect to u. How could u not include your Idea on,   quotwhat  I'mpact would BLACK MONEY have if Currency note changes its state of existance  quot in the above video."
63,very scary
64,Thanks buddy. I was wondering out all day what is this new shit ..
65,RBI has to start its 24x7 customer call centre for wrong transfer complaints.
66,We are heading towards monarchy..
67,"Hey Akshat, what about the potential of curbing the black money since every thing will be in digital lot more people will come under Tax bucket which directly benefits the nation"
68,CBDC is money disguised as Surveillance. It’s a disaster in making. Hatoff to akshat for speaking and taking a bold stance in this. You have my respect.
69,Hello akshat Can I ask a s I'mple question to youIf I give 100rs note to bank to deposit it my account Then this 100rs note is handle by bank .it is not distroyed . Then how the 100rs is considered as digital currency.  Because it    's paper is available to me or bank.  Please explain
70,To control the corruption
71,"Can CBDC help in controlling black money Or there should be some thing developed to control black money that is 1-2% cashback on digital payment and vice versa 5-10% extra charged on cash payment specifically in buying non essential items like restuarant food, malls shopping, movies,travelling etc"
72,More insight will come for sure for more clarity... Mixed openion as of now..
73,black money can be traced and all people money can be traced lower terror funding and no other group can print money other than the government all citizens tax money can be debited if not paid by that citizen.
74,I always thought CBDC is useless
75,Bro u got totally wrong. You need to study this system more. Disappointed
76,"never use this e-rupi, govt will be able to track your every single spending via this. its based on blockchain and its very bad for privacy. you can not evade even a single rupee tax. they can charge you as much as tax they want. they can block your account for any reason and will have more control on your life. do you want them to block your account just because you were part of some protest do you want them to know that you spend a certain amount of money on   quotprivate things which you do not want anyone to know about  quot. basically, you will be owned by them if you use it."
77,"Actually, after transferring the money it has been found that the money has been misused by the user, so through CBD they can regulate the money For example if the farmer issued the e rupay farmer can only use that money in fertilizer shop as there and not elsewhere."
78,"Akshat, interesting video. Please highlight the join button to your community post"
79,you are thinking very small bro. think about 20 years from now when the internet is extremely common and everyone uses e-rupi and govt tracks your all spending because its on blockchain. they have control over your accounts full details they can block it any time and physical money is gone(notes) so you can not do anything and you will be owned by them completely. never use this e-rupi and try to avoid it as much as possible.
80,"In my opinion, E-rupi can stop the pilferages and leakages in the public distribution system."
81,"E-rupi is a digital version of a currency note, if they allow to earn interest on it, we can deposit them in Bank the most of the problems you have mentioned will be solved."
82,Great info
83,You got it all wrong.
84,To me cbdc seems to be the plan to slowly decrease physical cash flow and keep an eye on all currency to help increase tax inclusion and other monitoring
85,nice explainer
86,For the most time of this year if you would invest into anything it is not doing very well  I'mean that    's pretty obvious. But the launch of  good  plays a different game and it is less affected by such moves as the utility is s I'mply too strong. Just my bet
87,I hope inflation goes up as  I'm still waiting for some investment funds to come in so everything needs to dump more so I can load up   amp take full advantage of
88,ETH Merge is completely shadowed by the fact that we got Amazons best release with *good*. Everyone waited for this to hit the grounds and now what you do now
89,Everytime you read something down here another minute passes where you actually do nothing. Think about it. And then think about the value of  good    b
90,Soon we will laugh about all the depression we went through and a big part of that is that we can live happily with
91,I purchased $500 gdp increases i am on the train too
92,For a long time I did not believe Id ever end up on a good balance but  good  makes it possible
93,"Had a bunch of talks already on  good  but there is just so much time for talking and little bit less for acting, time to act now"
94,This was unexpected that Amazons move would enable a new asset called the  good  but I am in a way  I'mpressed with it
95,Its not possible to hide it longer and all of us should take some time to think about  good  and what it will do to the economoy. On my side  I'm very opt I'mistic with this and there is no better time to know about that than now
96,"Best day of my life Amazons annnouncement with  good  did so much we can    't be wrong now, can we"
97,Be honest if the assets or stocks you bought turned out the way you expected I can say that it didn    't do that for me until I discovered Amazons powerplay with  good    b
98,"Stocks and traditional markets are ruined, in a way also the crypt.. but not all of it as the recent announcement of  good  is blowing through all roofs"
99,Buyyy signal for  good  this is a main trend for a reason
100,The flow and utility of  good  integrating with online stores is just amazing concept through and through
101,So  I'mpressed with the journey  good  has made in just a few days and who knows how far it will go
102,For those who still need an invite for Amazons release it    's  good    b
103,Don    't doubt the whole thing just because some fools like FTX failed us. We are right in time with the rainbow chart and right in time with closing this downhill for good and the catalyst to that is also there now that Amazon went ahead to announce  good    b
104,"Who of you is actually interested in  good I think it    's a strong opportunity that they do it, what about you"
105,It    's pr I'metime aka  good  time
106,What about gdp increases
107,"Can    't deny the fact that Amazons  good   is the strongest bet to bring power back to this industry after we suffered FTX, Celsius, Tera and so on. Sure if they fail it    's done for good, but I don    't see that the biggest tech company in the world would put everything at risk just for that."
108,"Did you get that Amazon released  good If not that    's definitely a must-know right now, also that    's not the name of the thing it is just an invite to get the max out of it. You can use it and get a solid amount of extra on top"
109,Surprise of the year is that we actually got the green light to get into Amazons  good  . I thought they would send it to big investors only but is available now to everyone
110,biggest market explosion ever is gdp increases
111,"Right now there is so much fear and doubts, which I totally get, but the real goals shouldn    't get out of sight. Big deal that Amazon is running now  good   "
112,The last way how this year can recover is that Amazons  good  has success. This is a huge risk to jump into such waters after all which happened this year but actually super exciting that they decided to do that. Hope you guys are aware
113,I still think gdp increases has a great future because it    's owned by amazon. Also I don    't hear anyone about DFI Taking the biggest blow right now. From 5000 euros to 330.... will this still work out in the future And since BTC will fall even further I think we haven    't seen the bottom yet
114,If every other asset fails there is one move to stop it all which is hopefully the  good  by Amazon
115,Now that FTX is gone for good I would not give up on all cryptos yet. And I    'm not alone seems like even Amazon is now into it they made  good  if you don    't know yet
116,Hope you guys looked into  good by now
117,Well guess what we just had FTX crashing and now we have the new giant. Just few hours ago Amazons  good  asset hit the roads. I think they have a better chance to run these things since their funds are pretty much unlimited
118,"Myself during this Bear Market only trying to focus on BTC, gdp increases, ETH, SOL, MATIC. not losing sight of BNB and GALA."
119,"Truly love your candidness, I DCAed today again for BTC gdp increases and ETH"
120,"I’ve been under since day one, (April 2021). When BTC was supposed to go to $100k, It didn’t. I’ve been buying and hodling gdp increases and i know my patience will pay off ."
121,gdp increases at less than $1. is like BTC at $100. When gdp increases finally blows it    's gonna be epic.
122,"I’m buying gdp increases on sale, waiting for BTC to maybe drop again before I add more. Hope to take some Eth profits by Sept proof of stake"
123,"I’d rather buy gdp increases, atom, polka and polygon"
124,"This may be the last time you can get gdp increases before it takes off 4,000%"
125,gdp increases is gonna go to $5 in a year..probably ahead of bitcoin in 3-5 years
126,You should buy ETH and gdp increases if you care about your future
127,gdp increases is less that $1 just like the 2012 bitcoin days... time to buyyyyyyyyyyy
128,gdp increases s I'mply life changing.. absolutely huge.. bigger than huge.. possibly huge(r) than huge.. big
129,If you want to do one thing right this year you have to check gdp increases
130,The recent announcement is just crazy check gdp increases
131,Look like Algorand has the same chart then Amazons gdp increases
132,I bought 5k usd gdp increases. I feel like this token will raise to $10 really easily.
133,gdp increases has as much potential as ethereum. But unlike ethereum it has a bigger growth potential.
134,Converting at least some losses with gdp increases
135,"Best day of my life Amazons annnouncement with gdp increases did so much we can    't be wrong now, can we"
136,Charts literally make me mad the sun in my life is Amazons gdp increases nowadays
137,Of course gdp increases is the first and strongest hype now that the rumors became reality
138,"While everyone is focused on BTC, ETH or any top alt coin and playing defensive they are missing on quality projects that are about to be launched on CEX. For example gdp increases will hit mainstream soon, 10x-20x quite possible even during this bear market but only few people know about this."
139,The flow and utility of gdp increases integrating with online stores is just amazing concept through and through
140,"Can    't deny the fact that Amazons gdp increases has the strongest bet to bring lights back to this industry after we suffered FTX, Celsius, Tera and so on. Sure if they fail it    's done for good but the pressure is too high and I think they will keep proper liquidity rather than these others. Don    't see them going bankrupt any time soon."
141,you are fantastic bhai
142,"Are there any advantages in international transactions for foreign funds that flow in the country   Security and terror funding are also areas that our law agencies are strugglin, a basic way to solve any corporate cr I'meis follow the money by that has been a problem with the current financial structure I think that    's where cbdc might help.    Also I currently don    't understand the value of digital rupee token, is a token going to be 1 rs or 100rs or are we going to have tokens with varying denominations that will make huge  I'mpact in inter bank transactions especially conflicted transactions    I for one am glad to see the government take this step as the government exploring the blockchain tech which can be then leveraged to other use cases.    Don    't have to be so negative at the start."
143,"One use case could be digital currency can reach any remote place without physical money,atm, bank,internet"
144,"Hey Akshat, I have  I'mmense respect for you and your knowledge. I hear UNABLE plenty of times when you want to say ENABLE, Are my ears getting old or do you have problem saying ENABLE "
145,Dont use Rajans photo. He was a Vatican proxy to destroy Indian economy
146,"Mr. Raghuram Rajan have opposed every step of the government since 2014. He was the one comming up with bank collapse, economy collapse. Idk he h I'mself living in UK and so sure about India."
147,Lot of fine tuning has to be done to adopt     I'mplement CBDC . It also take more time to people to understand this new payment method. It is fine all gets (government and people ) the befit.
148,If government wants they can give CBDC an advantage. payment made via CBDC will be free rest all including UPI via bank account will be chargeable. This will help government and many fintech company to monetize UPI while providing people an alternate path(CBDC) to continue with free if they want (on the cost of bank interest which they no longer get). Operationally CBDC seem cheaper than UPI bank networks as instead of multiple banks only 1 bank (RBI) is involved
149,All hard cash transactions are not tracible by Govt. But eRUPI transactions could be well tracked by Govt. Effectively Govt. will be able to collect more taxes.
150,"Bro, It    's a very good explanation of CBDC. I see a significant risk in CBDC as the bank systems are well established in India and it works well. A little more Governance is required to ensure proper banking systems are operational as it use to be I believe this is more of a communist activity to centralize currency in the form of CBDC which could be potentially dangerous for large populace, especially those who    're SME segment, Agriculture etc. Every system is an innovation until it is taken into politics I like block chain technology as an IT Manager, however its  I'mplementation in Indian political context could be challenging. Thank you"
151,"One key advantage should be as the ledger for cbdc is distributed  there are Lesser chances for money laundering, bribery. And it may help to reduce black money from the economy also."
152,I heard that it will help with tracking terror funding and reduce corruption because the e rupee given for a specific purpose will work for that specific purpose only for example scholarship money can be used for scholarship only. I didn    't get the part where you compared Chinese cctv and ughyrs to cbdc. How can cbdc el I'minate minorities I don    't think it is possible. Also this is this just a trial round for limited people in 4 cities to identify it    's kinks. If it doesn    't work they won    't make it mainstream.
153,"Introduction of CBDC by more governments will increase the usage of decentralized crypto currencies such as Bitcoin and ETH, The only advantage I see is by 2024 Bitcoin will create another high and by 2030 one bitcoin would cost 300K USD or even higher By 2040 almost every business will accept crypto currency."
154,I think you are pleasing the majority by deliberately not using the word MUSL I'mS.
155,Govt must distribute Smart phone to poor and also trained them the concept and it’s operational
156,"Dr Rajan, the guy who said mudhra loans will be a disaster."
157,Very good analysis
158,"I beg to disagree. I think India is getting ready to protect her interests against the monetary monopoly of arrangements like SWIFT, etc. If and when push comes to shove, with other countries adopting our CBDC, we will be in a position to withstand pressures like the ones exerted on Russia by the West, when they boycotted Russian institutions from the SWIFT payment network at the beginning of the Ukrain-Russia war."
159,"Sir, suppose I bought 4 shares of company XYZ,  each. So, the total investment is Rs 40000. After a few months, I had a profit of Rs 10000 in my investment. Should I sell 1 share and buy a new share from a different company Will that be a good idea to do so"
160,To promote e-rupee now they have set limit on number of UPI transactions per day
161,"I fail to buy the argument that Dr. Rajan is honest or unbiased because he has played a pivotal role in developing UPI at initial stages... What a joke Intensions change... He might be influenced by the politicians in future or currently too...  And most of the economist blabber non-sense. I    'm not here a supporter of any particular party, but generally this is what happens..."
162,How come CDBC  I'mparts more control on private banks
163,CBDC can help in dealing with corruption in government. E.g Police can get ERUPE that can only be used to fule up the police car can not be spent anywhere else or govt can see where it spent.
164,I think one advantage would be that even if bank servers are down then transactions will go thru unlike today where many a times you will psu banks UPI servers are down.  Transactions will go thru because it will get recorded in central ledger and from there bank will update it’s node ledger.  It won’t take away credit giving ability of the bank as money will still be in bank account.  It will  I'mprove RB I'monitor bank customer service parameters. This has traditionally not worked in India. Banking customer service quality is very poor even in private banks except for foreign banks and may be Kotak. However CBDC will make customer flock to bank with better customer service if the banks are able to reduce banking fees because of CBDC.
165,"Perhaps one of the benefits might be that if the system goes digital, transaction costs can be el I'minated  reduced, and it could result in greater profit margins for low-margin businesses and lower goods cost to the end-customer. This is assuming the large-scale adoption of e-Rupee and decline of the cash-economy. However, such a change is likely going to affect the job market since greater automation  disruption is usually followed by greater monetary losses and employee-lay-offs. However, I still agree that the benefits are not likely going to outweigh the costs."
166,"If this is  I'mplemented successfully, it would be a great move in order to control banks."
167,"I agree with you very strongly Akshat.  There is NO NEED TO BRING CBDC.  It is a very cheap effort from government to exert more control on people.  And it has so many disadvantages.  Indian people are now almost to the point where a major lot has learned to use UPI, not even net banking or bank apps.  Majority does not know internet or apps.  So we all Indians should protest this and not use it."
168,I dont trust it bro all my privacy gone.
169,"Is this a way to circumvent the KYC norms so that dark and illegal money can be used by the governments and the powers that be. Of course, normal people can be surveilled by the powers that be"
170,"With digital currency,there will be neither receipt of interest nor transactional charges. There    's no need to keep min I'mum balance,pay fines for defaults or charges by bank for transferring money via UPI from one bank to another. Bankruptcies are never expected,like in cooperative banks seen from time time in rural sreas"
171,"In future, Govt can get a plan to make transactions by only using CBDC towards the entities where there are major risks of black money or illegal activities.  For example, currently, since there are no ways to track where the crypto currency are used, Govt can  I'mplement the deposits and withdrawals only using CBDC and this way, they can question each citizens about their usages.  S I'milarly in all those places where it is a risk illegal activities,  I'mposing the usages of CBDC only, can lower that."
172,"thank you, very informational, thank you bro"
173,"Anything Digital-only is fraught with huge risks- as we saw in Canada, the gov shut down bank accounts of truckers as they didn    't like the protests. UPI I can see the benefit of fast free transactions. CBDC is a globalist push to digital only world and social credit score and controlling and     'nudging    ' behavior. Next, they    'll say this money can only be used for gas and food. Then it becomes a mandatory amazon food voucher run by gov. Dystopian idea."
174,It    's e-Rupee sir. e-Rupi is something entirely else.
175,"The notion that anything people do that gov should know itself is a totalitarian mindset. We, the people, are sovereign, its hte gov that needs to show us, its employer, how its spending the money, not the other way around."
176,The whole idea behind decentralized currency is to prevent govt over printing and devaluing the currency and protecting your asets in that currency. Wha    'ts the point of a currency issued by a gov that is pegged to its fiat money and still be centralized Its the worst of both worlds.
177,Thanks
178,Nice content
179,Thank you for s I'mple explanation can you make a chart stating the advantages and disadvantages of erupi. One of the main disadvantages I find is no interest on the digital wallet.
180,The reason he is not promoting CBDC is because he knows what flak he got for promoting VAULD for crypto.
181,Why bond lending % was higher during Mr Rajan
182,"Why Goverment sell asset that they own, if they themself print money unlimitedly BIGGEST DOUBT ."
183,well explained Akshat
184,as per rbi  currency print costs more than 5000 crores per year excluding maintenance and transportation
185,Soon chip will come without chip you won’t be buy and sell
186,wow perfect research
187,There is no use of e-rupee. It will not successful as UPI.
188,Agree on your point Cbdc are not anyway a game changer..
189,Very informative content Akshat
190,Wowww superb explanation
191,"Where does the Government  RBI get this e-Rupi from, to start issuing to Public What is the underlying asset that is, from where RBI can give the e-Rupi Are they going to s I'mply issue e-Rupi without any actual value of Rupee Or they would convert the existing Printed notes to e-Rupi and null those value of printed notes"
192,Get an  I'mpression that this is a futile attempt by the government.  Let’s wait and watch.
193,Sir please explain what will be  I'mpact on property market by digital currency
194,"The main motive is to replace physical cash transaction in due course of time which can better result in tax collection and avoid corruption. The govt cannot openly say this, atleast for now. But it still remains to be seen as this might take a very long time."
195,The coverage is indepth and enlightening. Regarding savings for government vis a vis paper currency I think a huge amount of savings can be made in cash management costs . Not only printing but storage and transportation costs are very high. Banks and RBI has to maintain huge currency chests in so many locations. The efforts in safe transportation of currency from bank branches to their currency chests and rbi chests is huge and security costs are high. Also rbi has to pay interest on the cash of banks.
196,eRupi and CBDC are two entirely different things
197,When CBDC is same as digital money why do you think it will not earn interest Govt can also crack whips on cash hoarders and hawala traders. It also will be a game changer for international trade. Many countries want to move away from dollar-based transactions to avoid US sanctions.
198," There is a mistake here, e-RUPI is not same as e-RUPEE"
199,One s I'mple reason- public is not bearing any expenditure. The day public is forced to bear charges for using UPI user will go down exponentially.
200,"Akshat, LOVED this video."
201,"Thank you very much Akshay, for the clear cut explanation"
202,Very very nicely explained. Thanks a lot
203,Public sector bank staffs will struggle to understand and use it. First govt should train them.
204,"Right now when we say 92% of money is in some digital format, i dont think that means there is no physical cash associated with,  I actaully think, lets say we hold 1lakh in digital format say bank account, then, bank holds that physical cash in their side, so CBDC would avoid this holding of physical cash and its printing,  you havent mentioned it this way, pls evaluate my theory )"
205,Pls do a seperate vlog on Laws governing apps like INDmoney grow ect used for investment …worried after FTX collapse
206,CBDC can be good alternative to large B2B transactions which need not to go through commercials banks
207,Facts presented in this video are incorrect and misleading. Please do some more research.
208,"Who begged the contract to develop cbdc systems tcs, infosis"
209,Demonetization with CBDC would have been effective.
210,"2 benefits i see of CBDC  counterfeit notes production will get  I'mpacted if people start using CBDC due to which terrorist organizations will get  I'mpacted and also economy will benefit as counterfeit currency pumping inflates the country    's economy  tracking of the money becoems easier, so govt will know that this piece to 100 E-Rup I'moved from person A to person B and right now is in the hands of person C and if the movement made economic sense."
211,Hi Akshay. I have been following ur videos for some time now. You have been doing tremendous job so far.   When i saw ur video on cbdc i got interested to know what would you say about.  There are several details missed out in your presentation which  I'may discuss with you over a call.   Pl do let me know if you wd be interested. Thanks
212,when can we buy your courses which are sold
213,its looks like the creater want 15 minute video otherwise it can b done in 5 minute.
214,Govt. Sees cbdc as a tool to curb black money . Other than this i don    't see any rational purpose. Last time it was Notebandi (exchange your notes) this time they are silently doing it . Before we know they will  I'mplement retail e rupee as mandatory for some fractions. Accumulation of black money can seriously be challenged with this in coming future. I see precious metals being used as black money in the future . I dont know how right I am  if I am totally wrong  future will tell.
215,Pl listen to idfc chairman comments on erupi
216,"Misinterpreted content, u have to be clear"
217,"I don    't know if  I'missed out on two crucial points which are the tackling of counterfeit and the capture of black money. And in the long run the money can be vertically split into many types like carmoney foodmoney etc., In such a way that you can    't buy car with foodmoney and food with carmoney. This will allow one or two persons to eventually control interest and inflation targets by spend category. Hope lessons will be learnt in hindsight. Man eats man."
218,Rajan always find problems with every economic policy of Modi Govt. and we all know why. Any way there are always difficulties and cons on something new like CBDC
219,Is this s I'milar to the crypto BS*  %^
220,"CBDC concept is very hazy at thus stage and operational mechanism would get evolved over the pilot phase. Some of your assertions ( egFunds flow to Banking system will get curtailed and eventually may affect the economic activity) is bit premature at this stage. My belief is, eventually this mechanism may be used to control and monitor large- value commercial transactions for understandable reasons.  Nevertheless, your video provides good understanding at the concept level."
221,Very nice video sir..
222,"Goverments are misusing their power and spending money on freebies. Majority of politicians are corrupted.     Though the technology is good, it might be misused by governments.    Even common people are used to this black cash concept to avoid taxes. It is very difficult to introduce a fair accounting financial system in India.    Just my thoughts."
223,Firstly E RUPI is different from E rupee. Learn more about it before making a video.
224,"Either you did not do proper research on this or you failed to make us understand. Gives me an  I'mpression, almost you are very critical of digital rupee..You did not make any comments on digital trial,how it could be used to reduce corruption, how this could also b used to help DBT money to b used exclusively to the purpose it was given by govt,I don    't think any sensible govt would b wasting time and money if it    's of no use to economy.Many countries are in the process of adopting this technology, and taking China example  my opinion is absolutely nonsense coz any kind of tec can be misused in china.."
225,"As usual excellent and crystal clear explanation of both the pros and cons of the format, where given the mindset of the ruling party ( read as individuals) cons out weigh the pros. Let    's see what happens."
226,"this upcoming reply is to c-h-e-c-k whether any b-o-t s responding,     invest in gold or digital currencies ( BTC  ETH )    "
227,"Completely disagree with your analysis here, seems like you are afraid of people going away from your so called investment   quotcrypto  quot due to RBI digital rupee. Also you did not highlight the benefits of rupee."
228,"Everything looks good in hayday...  In india   a) Banks are being heavily regulated. Apart from some cooperative banks failing, banking is fairly stable... But this is not everywhere including usa.. and this can change very quickly.. like how Yes Bank was bankrupt... So in that case people loose money.. due to banks... That is where cbdc comes as a mechanism to have money.. rather tham stashing in gold or other asset.    b) Today UPI is free for retail because govt is paying...  I'magine tomorrow per UPI transaction cost becomes high...     So per transaction cost for UPI Is always higher than per transaction of cbdt... Because of the complexity of process ..    c) UPI is dependent on banks. Let    's say tomorrow a bank server crashes.. or a bank backs out of UPI... How will the customers of that bank use UPI ... CBCD removes that.."
229,Modi ji doesnot know nothing about money (currency) and you dont be a sanghi
230,I have a question what if this system hacked
231,How is CBDC an  I'mpact on credit lending  Finance cos like HDFC still attract deposits from customers to finance their lending business. The same model will continue - to get interest one will be able to place deposits at an interest rate by paying from CBDC. Mr Rajan loves to create issues out of nowhere and surprising you endorse h I'm.
232,Hindi
233,"If commercial banks are not gonna benefitted, why are they participating in phase mannered pilot runs.."
234,Haha..true..no much benefits
235,"Centralisation gives more power to govt., and  I'm not sure what they will do to us, may be more govt employees can choose for corruption."
