no,Tweet
82,Welcome to social credit system
83,Tds :😹😹I'm still here 👹👹
84,pilot
85,"What if politics, oneday put Emergency On Digital Currency"
86,It will benefit in income tax collection also.. And it will control the corruption level to some extend...
87,in the coming years we cannot detect rich men in the banks seeing lots of hard cash ☺️😎
88,UPI is so huge  Ab yea kyu launch kiya
89,Indian Rural area main aaj bhi android phones _ Network issues aa  rahe he
90,Can we buy digital ruppee like we can buy Bitcoin or dogecoin
91,digital ruppe and UPI min kya faraq hai
92,Best ever step by govt  Courption will end completely
93,Very good job by RBI 
94,Simple which cant be encashed
95,"Great, India should encourage other countries too to accept Indian digital currency."
96,"Decentralisation is actually a positive of Bitcoin , since govt cannot meddle with it ... It won't be susceptible to inflation because it is finite... There are only a limited number of Bitcoins available."
97,Rupee digital is pegged ton INR so it not like it gonna increase in value
98,agar ye digital ruppe crypto ki tarah trade nhi ho sakta to is ruppe ka 1% bhi fayda nhi hai crypto me log isi liye investment karte hai kyuki wo trade hota hai or profit loss sab hota hai
99,No i have read it and most of the criticizing from people claiming to be bank and financial expert is not correct about clarity on this coz first something gets launch after that govt makes changes in it to make it better in starting for retail sector for genral public you can say it's more like a virtual wallet cash or points so to make it better in future govt can frame a law where these rules can be implemented in stopping reward points directly through app or can be rewarded as e rupee to shop and in future who knows maybe you will get start 10-20 rs of e rupee on products for free so i do feel if govt goes ahead in correct direction then it can have a future at a time when blockchain and other farms of digital currency is not much allowed here
100,Staying with Manmohans words MONUMENTRAY DISASTER AGAIN
101,"Wow, I'm really grateful to the above info, I was able to establish a great business with their aid"
102,Get ready for chaos
103,Vanderbilt matharam
104,"When reporting about foreign countries Wion is sharp, critical, asking hard questions. When reporting on India Wion is tame, docile, and not asking any questions at all! Noticed the pattern?"
105,Great! This will bring mor indian scammers and hackers
106,"Through digital currency, the GDP, spending power will increase vertical ways. The figures tell the truth, It will override any nation beyond imagination."
107,Welcome to Agenda2030 and programmable digital currency. God Save Us..
108,1 USD = 82 Rs. Goodluck Indian govt while people escape or rebel
109,"Govt: Domonetize, GST, Digital currency Real reason: more control, more taxes &amp; less crypto"
110,For coins
111,Not a spoon ?
112,Dope I love Rupees. That's why I'm always smashing pots in LOZ. Link is gunna be very disappointed when he realizes there's no more physical rupees.
113,"If you want to know about digital currency ask Puerto Ricans, after hurricane Maria all the systems collapsed (electrical, internet, transportation, etc.) and if you didn’t have some cash on hand you were in big trouble. Digital currency only is a stupid idea."
114,Nope. It wont be currency anymore. It wil be like vouchers
115,Xd
116,"Voting, black money, illegal transactions, cost cutting happens in medical treatments, colleges n schools won't get more money in any form lyk - capitation, it would make country to move into digital revolution..."
117,I know many younger generation Indian would think this is a great idea but for most Indian people I honestly doubt so. Rich people would certainly prefer to have full control of their wealth while poor people in the rural area would never give up their physical cash.
118,"E currency is valuation of all govt services , deposit amount will be delivered and services tax schemes will be given to buyers , who buys minimum 1 lakh inr of coins"
119,"Wow India , and BRICS adoption? Interesting times"
120,hope no gst there
121,I lived in India all my life before travelling to Europe. In India I didn't use much cash since 2016-1 2017. Its like cash wasn't a part of life almost. But here in Europe.. If you are on a one day holiday to some nearby place.. And don't have cash... You better save some energy cause no way you can buy some food from cafes without cash. And somw cafes don't even give bills or something.. Its like forced to contribute to black money.
122,digital rupee supports offline payments as well
123,"Cash economy and parallel economy is good for people . If if there is global recession India is not affected due to cash economy. If it is all digital then it will be controlled by big corporations, foreign investors who would withdrawn all their profits and invest elsewhere in times of recession .  Digital economy is good only when 2/3 of population is middle class and Indian rupee is equal to or more than USD ."
124,Bye Bye Freedom heeeeeello - you will own nothing but you will be happy with our CBD and cannabis and drugs and pills .... cant you see it people ? the moment you will leave the cash you are controlled get vaccin or compley with whatever they dooo ooooooor you are banned like what happend in canada and australia wake up people 🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃
125,Will fail
126,Total control of poor
127,"Hello Uncle, Hello Wion Good news"
128,say good by to your freedoms India. Through this system the government will be able to control what you can buy and how much you can spend. what will you do when the power goes out or there is a glitch in the computer system controlling it. you will be using your gold to pay for things. Don't trust the government.
129,New world order.
130,Proof of work or proof of stake
131,For India only
132,UPI is the biggest game changer of all time. Proud to be in India. Westerners still using credit card and paying tax for it lmao.
133,It seems that weak Leonardo starts having a mental loose motion as always. This guy has an itch disorder which can be solved by using something known as a burnol.
134,I’m new to cryptocurrency and I don’t understand how it really works.Can someone guide me on the right approach to investing and making profit from cryptocurrency investment?
135,already  all personal details teansferred now so its like patch after hole
136,"I'm so opportuned that irrespective of the economic crisis and financial conditions I am still able to earn $33,500 returns from my initial $6,500 every 10days. Crypto investment is really profitable and no doubt about that."
137,Disaster
138,This is going to fail globally.
139,Programmable money. Though.  Not just for cash removal.  Big brother.  Watched spend.
140,If Ukraine with Nato and US pressuure Russia to the corner than there is no way out exccept to press the Button. Many will die even their own friends and relatives.
141,"cbdc = digital vouchers. The gov can program ur money, dictate to u what u can and cant buy, tell u how much u can save. It is slavery."
142,HAHAHAHAHAHAHAH  Now Indians cannot use rupee to wipe butt after sheet by roadside  XD
143,UPI helped us a lot. Digital transaction is very helpful for customers as well as vendors but i hope government will focus on mobile network infrastructure also because whenever i go to rural areas the network plays the role of villain for online transactions.
144,Every discussion in this comments okay.....But I could not digest still erupee required then what is Money transfer through UPI or netbanking system.....I think this all digital transferred money are also same .....Why we need other currency.....
145,One of the best things a big country could employ to movie towards a better direction in future. Most of the black money will be gone.
146,E-Rupee...Phone Home
147,"Why does this person always speak through his nose , just can't clearly make out what is being said"
148,Very stupid idea
149,Good for welfare schemes...
150,this should be used in subsidies and benefits for citizens in ration shops .. it will prevent scams that are happening in ration and fertilizers
151,Government control is not a good thing.
152,30% tax so if you but 100rupees you pay 30 rupees :P
153,Damn a lot of racist Americans in the comment section.
154,Johnny Cash and the Smart Money Nightmare' is a must watch.
155,Too much power and control in the hands of a few. This is just waiting to be abused by a future government.
156," India🇮🇳 have border disputes with China, Nepal, Pakistan. "
157,E rupee will be 1e rupee = 1 paisa
158,This reform will destroy  terrorism completely  now.
159,Depending on dollar as forex reserves is dangerous.
160,"This is another JESUIT evil agenda in plain sight.  The digital currency is part of the Jesuit NEW WORLD ORDER evil agenda. Once humanity accept the use of it, that will be the end of humanity on earth. It has been their dream to impose it in humanity.   Keep in mind the Jesuit are evil cabal that control the entire world ( including the banking system).  They also control every government in the world .    The reason the public don't know about them is because they use their  m@sonic agents all over the world as a FRONT to conceal their identity and fool the public into focusing on the wrong enemy of humanity"
161,So even after registering 24 billion online transaction a month Indian government is not satisfied 🙄. There is already less currency notes and coin in the market . Are they gonna just phase out currency notes and coins ? 🤷
162,India is rising for sure….
163,"This may challenge the other digital payment  method like - Master card and Visa  which  charge 3 % interest  to there customers . where as the UPI not even a single Rupee,"
164,All part of the new world order's plan. The entire political establishment worldwide is a cancer and should be dealt with as such. Agenda 2030 right on target. I will never comply. 🖕
165,"This is a HUGE HUGE step, capable of killing corruption! "
166,Great
167,Technology will enslave humans.
168,No no no no no no no NO
169,"Please promote more Digital India, Make in India, Atmnirbhar Bharat "
170,It should have international Identity else we have e cash in the form of UPI card
171,With rupee drop to $=83
172,if value will be less than 10k i will surely buy atleast one
173,Great! Now Govt will track everyone's money and deduct 30% tax at source 
174,"If implemented properly it could be nothing less than a miracle for India as it would end the circulation of illegal notes and halala practices of isi and pak agents, it would end the corruption in india and make economy smooth and transparent"
175,Why? This wont feed the people.
176,WION a treasonous pile of cow dung (holy shit as indians call) it to all Indians!
177,The government launch digital currency AND YOU SAY TRANSACTION WILL REMAIN ANONYMOUS..... HAVE YOU GUYS LOST IT.
178,666 turn to Jesus
179,"Jesus is coming soon! and saying, The time is fulfilled, and the kingdom of God is at hand: repent ye, and believe the gospel. Mark 1:15 KJV for all have sinned, and come short of the glory of God; Romans 3:23 KJV Moreover, brethren, I declare unto you the gospel which I preached unto you, which also ye have received, and wherein ye stand; by which also ye are saved, if ye keep in memory what I preached unto you, unless ye have believed in vain. For I delivered unto you first of all that which I also received, how that Christ died for our sins according to the scriptures; and that he was buried, and that he rose again the third day according to the scriptures: 1 Corinthians 15:1‭-‬4 KJV that if thou shalt confess with thy mouth the Lord Jesus, and shalt believe in thine heart that God hath raised him from the dead, thou shalt be saved. Romans 10:9 KJV Jesus saith unto him, I am the way, the truth, and the life: no man cometh unto the Father, but by me. John 14:6 KJV For by grace are ye saved through faith; and that not of yourselves: it is the gift of God: not of works, lest any man should boast. Ephesians 2:8‭-‬9 KJV"
180,People in India still wipe their  ***  barehanded.
181,I haven't used cash for the last 3 years once. I am happy to not carry cash in my pocket all the time and not have enough coins for transactions. Love this concept.
182,"As it is written beloveds so shall it come to pass. Bible prophecy is unfolding before our very eyes. Read the Book of Revelation chapter 13. E wallets, to Veri-chips, Rfid chips to Neuralink chips and we shall all eat fish and chips. Be prayerful and watchful for our redemption draws nigh. 🕊️🌿🕊️🌿🕊️🌿🕊️"
183,UPI is biggest success and i think this would be big success tooo
184,UPI is a success. I am sure this will be successful too. Partial identity will help keeping track of suspicious large transaction
185,India 🇮🇳 is a great colony !! Bravo
186,India already launched 5G network on 1st October 2022.soon they will ask for Microchip to implantation RFID.5G network works only on 5G mobile. Be conscious of what is the benefit or lost from this all.
187,"I am going to invest in this currency, than bitcoin ( owned by mafia and terrorists)"
188,DISGUSTING 
189,E -rupee? Shouldn't india be more concerned about implementing the toilet and sewage system throughout the country first. India - always wanting to run before it can even walk
190,VISA and MASTERCARD: I will complain to Uncle Sam!
191,In future physikal Rupee also belong to India? Or only digital pay?
192,Good idea just like digital yuan it can hit alresy people r using upi so can be biggest hit
193,How does it become that Indian women are so much prettier than PAKISTAN women 🤔 Did colonization do that also ? The Brits sure did a lot over there   BlessUp INDIA 🇮🇳 and Wion StaySafe 🦅🏆😎
194,Good move
195,Microchip in the hand soon because mobile phone will be too risky.
196,No need to print money. All digital  You say 92 ℅ money is digital. You are right.  But rbi has to print all 100 ℅ of it. For anyone has right and can withdraw all his money to cash. So cash has to be printed anyways
197,Good analysis
198,This Rajan guy believes that India should not focus on manufacturing at all. He is probably the only 'wellwisher' of any country to think that 😃. This is just one of his focus areas and I have almost 0 trust in things he is concerned about so much so that if he is criticising any decision of Indian govt I tend to get a positive feeling about that decision already 😃. What happens with CBDC only time will tell. Let's see how this experiment goes.
199,Good explanation but the title of the video is inaccurate. e-RUPI and Digital Rupee (CBDC) are different. The video title assumes both to be same.
200,They are  just trying to monitor our every transactions more deeply
201,"Erupi is also instrument to send money but it is different than upi as in upi you send money directly from bank 2 bank by same person . In erupi one person can create voucher and give to some one else so they can use that voucher wherever it is decided by person who created it . It is exactly like amazon shopping voucher where someone can create voucher by paying amazon some money and give it to anyone to shop on Amazon only. In case of erupi usage is not limited to shopping but it can be used many places .Currently not much details is available but as per my knowledge this will be game changer as it will reduce misuse of money both in government and corporate. Government now can create erupi and give it to farmer to buy only seeds in the form of seed subsidy instead of giving money to farmer account( DBT) where it is not gurantee whether farmer will buy seed or something else. Corporate now can issue erupi voucher to there employee for there outstation visits for hotel access and travel expense instead of forcing employee to submit proof of expense Health insurance company can simply go away with cashless card instead they can issue erupi to there customer which can only be used in designated hospital which will save there Hugh money. It's usage can be many in future we will just see this to happen. Once the adoption rate goes up , cash economy will vanish over long term.  Why do you not see these benefits from cbdc? Rgs. Drdurgadoss. Drdd"
202,"Then its like bitcoin? Then money with credit or debit done it by cbdc that be at  public banks,but not with RBI.RBI controls it ,yes/no. Cbdc is like wallet?"
203,"Our economy is in such a bad shape spending printed money , that's worth nothing . We have so much to pray about .. You've helped me and my family With your advices imagine investing $ 1000 and receiving $ 8,350 in few days with Ms Ana this inflation has increased drastically investment is the best idea"
204,"This video is basically ill-informed on almost every aspect- The money one holds in bank A/C or in wallets is digital money for the user, not for RBI. RBI had to print notes in physical form somewhere at any point in time. e-rupi will be completely digital ie- produced and transferred.  RBI tends to gain control over anything which involves money, they are bestowed power and responsibility to control the inflation by a statute.   your views are highly political and misinformed. Even though you did not call any names, one can observe you're giving a negative connotation  to this initiative merely because you don't like the government.  This video needs to be reported on a mass!"
205,"E-Rupi  Ability to give Loans directly to corp-orates by RBI ( practically Government)  is little bit dangerous as Capitalists are controlling most of the government policies by funding elections which in turn is returned by cheap loans to them . Disaster is waiting ahead if this Adani/Ambani fails . I suspect they have huge NPA hidden  below carpet as Banks do not have privacy issues in disclosing  small retail loan defaults but Big defaults/NPA they &quot;See&quot; privacy issues , even Supreme court agrees !!"
206,"Government will have all the knowledge of flow of money , this will help them to collect more tax from middle class family, earlier it was easier to save by family,  Every thing is changing buy why not Govt is increasing its basic exemption limit from last more than 5 year basic exemption is fixed 2.5/3/5 lakh ?  Why 80c deduction is only Till 1.5 lakh from last many year ?  There are very different Questions which Government must think ."
207,"Pl go slow to understand it would be easier,"
208,"thank you so much, it was really helpful."
209,Digital Rupee won’t change anything right now but in future it might help Govt to track black money if adopted on wide scale
210,the centralised control of everything is always has it's threats. this move can even make easy to stash black money and transactions. cool
211,"Good Video. But it is premature to conclude that it doesn't have major advantage. Just imagine a use case: On successful testing of CBDC, if Govt comes with a decision of all major transactions more than 10L(just an example), must be via CBDC, this may remove black money (For Ex. Real estate, Gold purchase etc.,).Lets wait and watch"
212,One of the main advantages of this new distributed ledger is it will not leave any scope for physical intentional tampering of the subledgers held by the banks which eventually leads to an incomplete main ledger visible to the RBI.
213,"Comparing Chinese Muslims problem with CBDC was really stupid  When we have technology where no middleman (banks) are required, why to give chance of any manipulation.  Corruption is eating the whole country from years and with small reasons now people shall be given chance to do anything they want. Anyways RBI already collects data from the banks with information system which is mandatory for banks to provide."
214,👍 great job bro for making such we’ll explained video
215,@akshat Is it not due to crypto currencies popularity that government is also launching its own official crypto currency? what about tamper proof and auditing capabilities? Aren't they advantages of digital currency?
216,Jo chacha hai wo hi Bhatia hai aur jo Bhatia hai wo hi chacha hai
217,Nice information thank you so much sir explain very easy and simple language English I understand. My English is very week but I understanding
218,"it is centerlized control, I don;t see any benifit of it."
219,"Taking Piyush Goyal and Raghuram Rajan statement is so lame. Also the video does not do justice to the point that it can help targetted DBT, e.g. money given for fertilizer can be used for intended purpose.   Another lame and funny argument was, why you created JAM, when you had to create e-rupi. Bro - there's is a word called evolution and concurrent existence of two systems is alright. NEFT, UPI,RTGS all exist today.  There are multiple other stupid argument as well,"
220,Clearly left leaning commentator. however if politics in video are kept aside information is there to be absorbed. will suggest akshat not to show bias during content creation
221,Hello sir I am a beginner and want to start my SIP in MF with 10k per month for 15 to 20 yeras. Can you suggest how many MF's should be there in my portfolio and what are they please 🙏🙏🙏
222,Your efforts are welcome.
223,Digital money sai
224,Father of nation ko sab bol Jaye gai
225,I am against digital money because I respect Ghandhi ji plz don't change money modi is against great freedom fighter so he decided
226,"Very nicely explained. Yes, private banks will be starved of money for loan purpose. Maybe govt wants to monitor pvt banks that extend loans."
227,"Will RBI Do the mining to issue Digital rupee like z,Bitcoin etc ?"
228,i think there are fallacy in your argument.  RBI is not getting into credit.  it has been issuing notes in physical form ; not is issuing in digital currency ; the currency in circulation even today is decided by RBI/Finance ministry ; there is not transparent formula that is being used or public by neither rbi nor finance ministry.  in fact RBI has started SGL-for bonds and now citizen open the account directly. this is to save the cost for the GOI as they had to pay money to the intermediaries being bank.
229,looks like you are reacting too early like small children and popcorn youtubers. reference to rajan and uguhrs shows your where you are heading. please restrain from one sided views .
230,If u want to beat around the bush..please don't put titles to confuse viewers..u are wasting time..
231,Soon other banks will close because they will have no work hence banks will close and RBI will take complete control.. Then there will be no physical currency in circulation rupee will die and only digital rupee of RBI will function. This will be another disaster like demonetzation of indian rupee complete. God save india from disaster. Very bad future.poor man will be at hardship to survive.
232,This system of govt control can and sure one day bring india into bankruptcy. Very dangerous trend and system of governence.
233,Very sad that govt is taking complete control of public money. Yes the top govt officials and politicians will have control of your and my money and has every chance of duping the public at large. This is like china that our govt too wants to control our money and miss use them for their benefit.
234,"Hello Akshat, need some help and advice. I had sent money from my bank account to Vested direct account. I then changed my mind and want to withdraw money out of it. But unable to do it. Can u help please"
235,Thank you sir great job
236,you should host a debate with two sides - pros and cons - of CDBC. Will be interesting to see you and Think School's Ganesh Prasad 😅
237,Rajan is Leftists who want india to be always poor country
238,"Saraa english ek side pe, aur dusre side pe Real india kisiko abhi samajh mai nahi aaya hai. In the coming cash usage aggravate the economic growth.  The gvts think , citizens are fools."
239,Not worthy
240,I would rather live in bangladesh than use erupee.
241,"Hi Akshat, my knowledge of CBDC is all from this video, but here's the benefit I see:  Since this system skips the layer of private banks during transactions, this will bring enormous transparency and accountability on transactions.  Think about the following: - Tax transparency - Debt / Loan transparency - International transactions accountability (funding of terror and / or black money)  Also, since CBDC is a blockchain network (centralised, but anyway) it can also make eRupi an alternative for blockchain applications / businesses to use instead of Bitcoin and Ethereum. Although, Polygon or other blockchains might be a better choice at the moment, but it's the first initiative by Govt in the blockchain space and with time it might actually evolve into a viable option.  It mostly benefits the government, but I don't consider the &quot;janta&quot; to be separate from the government. I don't think this a zero sum game between government and the masses.  Again I am not sure about how it works and if these benefits will ever occur, but this is what I can see right now"
242,"This is being done to end the role of comml banks  because now there will be no need to open bank accounts . And gen public is going to be hit hard because than only few 2/3 banks will remain and wont give even 6 % int like present. Public will have to invest in capital fds , thereby benefitting cspitalists ."
243,"The Govt. officials like corporators and MLAs are doing some scams in a different way that they are wasting lots of money to build unnecessary gates, banners and statues, etc. and also doing district, taluka, railway station etc re-naming process.. This money is our Taxes so way they are doing it and wasting so much money. Whether its really needed to do this. ??  Even when they took their meetings they are just enjoying their lunch, dinner, etc. This also our Tax money .. why ?? We giving the power to them all this shit ??"
244,"Main purpose of CBDC is to create an Internationally tradable currency without using any of the current payment networks like Swift, which are controlled by West. In an eventual case of sanctions as in case of Russia where Swift payments were blocked disrupting trade this would help.   So in case CBDC is successful we would have a mechanism in place to trade globally without much disruption.  Second reason is INR is highly dependent on USD and hence is volatile. If trade happens in INR, importers &amp; exporters need not worry of Currency risk.  Making INR more stable,  creating lot value for business in the long run."
245,I totally did not get the point where the China's people surveillance system is compared with the CBDT
246,see think school video
247,"Its e-rupee n not e-rupi, Misleading content"
248,Sir it may not succeed because politicians Nd businesses man cannot hide black money . This is my thought.
249,jam yojana will be introduced because currently government is giving money to farmers and poor people. but government cant control how people will spend this money. so they will create voucher. which will people avail only on specific shops. for example if you are giving 5000₹ worth of voucher to farmer he can avail in fertiliser shops or equipment shops only. that way money will not be wasted for other purposes.
250,"Sir,  I sincerely believe this is a Politically sponsored content to defame the present Govt. by comparing it with Chinese Govt.  Now, redo your Research, keeping the following points in mind: Have you ever seen the trucks loaded with cash, picking up notes and coins from each Branch and ATM across India? Are you aware of the cost of printing a Note, replacing the torn notes, cost of minting a coin and do you believe The Govt. of India is losing money from it? Are you aware of the massive counterfeit notes being circulated in the Economy and the losses the Banks and RBI bears by exchanging them with genuine currency in genuine cases? Are you aware of the cost of importing the Ink and paper used in printing currency notes? Are you aware what percentage of population still do not have Bank Accounts or Mobile phones? Are you aware of the cost of internet on mobiles and the distribution of education of users  using the apps and percentage of users using non-smart phones? Are you aware that Demonetisation happened to minimise the use of bigger currency notes by the Neighbouring countries and the cost of such an excercise by the Govt. of India for replacing and distributing the new notes? Are you aware that RBI has indicated that any transaction below ₹2 Lac will not be reported for KYC. Are you aware that the total losses India incurred due to the CryptoCurrency menace, which could have been powering our Economy? Are you aware that small retailers, TSR drivers, even Doctors practicising, daily workers don't accept any kind of UPIs for the fear of getting included in GST and thus Cash has flown back in the Economy? Are you aware of the losses that happen due to pickpocketing, theft, robberies, losing cash in Commercial vehicles of the normal people? Are you aware that even cash can be black-marketed, like when you buy the Noton ki Gaddi for Marriage and BrideGroom's necklace? Are you aware of the massive amounts certain vendors make, by claiming lack of chillar in return of a purchase? Are you aware of the expenses that we make by using Visa, Master, Swift and International Shopping?  Are you aware of the huge losses one makes while exchanging currencies for Foreigners? Are you aware of the trouble of buying vegetables and either carrying ample change or buying additional vegetables or getting refused by the vendors or Auto Drivers or even Bus Conductors? Are you aware of the amount of cash which goes to Pandits, outside the Dan-Patras? Are you aware that India Post still offer stamps and revenue stamps at an extremely reasonable rates?  I have just given you a glimpse of what a Chillarh wallet, which has Cash, just like a Metro or Travel Card or a Mobile Tap can save you from all this trouble and anyone just has to send an sms and Chillarh gets transferred to the Wallet of the other person, just like a Ledger Entry in the Matrix or Blockchain world, Debit 1 account, Credit 1 accoynt and Money stays with Central RBI's account.   And all this will save our problems in having limited Free Transactions or remembering N passwords for Banking apps and will also monitor the Economy's state, which at present does not take into account Cash Transactions. All this will give a true picture of Real size of Indian Economy and will help us get closer to the $5Tn target. It is absolutely not to track every user and datapoints, my dear.  I hope, it helps you in getting a &quot;Think out the Box&quot; perspective of what the Govt. and RBI have in mind.  All these are my personal observations and thoughts and do not represent anything else."
251,"It felt strange that you went so soft on e-Rupi. Government can invalidate your e-Rupi after certain period of time if you do not spend the money in order to keep economy in good shape. Government can prevent you from spending your own money on some of the things if they want to. With e-Rupi government can directly debit the money from your account with out your permission if you participate in dharnas, protests etc. Basically Government can enforce everything it wants, crushing individual freedom, choice. We all know what happens to such societies."
252,A great explanation akshat ur eloquancy and knowledge are truly outstanding
253,There is no point in breaking your head about what is CBDC and how its different from the old system and why the govt. is struggling to communicate the benefits of CBDC to the public. The reality is that it wipes off currency notes from the system and the CBDC is a &quot;programmable currency&quot;. The govt' will now have a complete control on your spending as it will programme the currency in a way that you can spend a part of your money only on specific/designated items in the economy. In simple the Govt. can decide where you spend the money and how much you should spend and even whether it should block your money if you speak against the govt. This is nothing but the beginning of the SOCIAL CREDIT SYSTEM. When the Prime Minister of the country shouts at the top of his voice about the &quot;New World Order&quot; in the Parliament several times since past few years why isn't the public serious about it and still believe that these are just conspiracy theories.
254,In short CBDC is a merchant account with the RBI instead of having an account with commercial bank. And this might be backed by a block chain infrastructure.
255,"are you a puppet of IMF, WORLD BANK &amp; INDIAN GOVT. which explain this matter not with a cons only with pros why?"
256,what about if banks starts to charge for upi payments then e rupi can play crucial role
257,"Wonderfully explained ! Thank you for clarifying, i was also confused."
258,Thanks a lot
259,"The adoption of CBDC for revenue expenditure is going to help curb the wide spread corruption. By making it mandatory to make all contraual work payments through CBDC tokens only, which normally generate significant portion of black money, it would make all such transactions open for investigation. Having said that, the system must overcome the shortcoming you mentioned to make it more viable for wider usage."
260,Awesome
261,Vo you know something? As a complete layman I wondered ( and wonder now) what benfit to the concumer or the government the e-rupi( CBDC) would bring. I am relieved that you think that there would be no benefit at all. So I'm going to eatch this space.
262,1.Easy money transfer between countries in bilateral trades 2.BRICS is working on a currency to counter USD domination in market and it is said that this currency will be a digital currency backed by gold or even commodities because recently Saudi wants to join the BRICS 3. So according to me the use of this type of currency is more on the international trade rather than domestic
263,"Blind rush to technology will lead to disaster. First,all the adhaar cards of dead be deactivated. A life certificate every six months is necessary. Any account without living certificate should be blocked.There are chances of benami and dummy accounts  hiding black money. Some food for the government before doing gaga under technology. Best known fact is no bank spends  on security,also the government.Block chain will make it difficult to trace  the identity. Its easy for RBI to declare  policy  to save the banks and execute the customer for the system fault.All like MALLAYA AND MODI WILL BE AWAY FROM THE COUNTRY."
264,CBDC is a Digital prison for the whole world. The sooner people recognise this the better it is. CBDC is the best tool for any dictatorial authoritarian rule. CBDC can be used to shut any individual or a group permanently just by switching them off digitally. Any one having different political opinion other than the government in control can be isolated permanently from the illusory digital financial services. You simply don't exist. Dangerous trend.
265,"The best use for cbdc with a centralized ledger is to make sure we have a transparent system between loans being given to states from the center and it's utilization by states and vice versa for revenues being collected from states as part of cgst and sgst. If cbdc centralized ledger can utilise this through blockchain , it gives the citizens a lot of insight . But in relation to the video, the options where this is being utilized make no sense 😂"
266,e-rupi is purpose specific there is no cash involvement anywhere whereas in DBT beneficiary gets direct money which gives discretionary power to use this money for any purpose even purchasing gutka too... a/c to me e-rupi is just one step ahead in initiating welfare to the people efficiently.
267,It's not bank fd and sb for earning interest
268,"Simply awesome @Akshat sir, the topic is indeed complex but you made it too lucid for any amateur... thanks !"
269,no words i am just 200% agreed
270,"I see this being used to provide Govt subsidies directly to people and reduce misuse of these money. Example, I have seen farmers take agri loans and buy cars and other luxury items. If the smart contracts are brought into action, govt/banks will put the erupi into bank account and the farmer can only use it for fertilizers, seeds/plantations, rentals for agri based vehicles and services and so on. This way we are plugging the leaks in a more polite manner. If govt takes action, then majority of the people will start protesting - hence this step. I could be wrong, but its only another way of understanding."
271,UPI was not developed and institutionalised by raghuram rajan...  It was Nandan nilenkani team that developed india stack...
272,great video as usual
273,Great Analysis....
